product1_DefaultCallProtocol;product1_ListenPort;product1_DefaultTransportProtocol;product1_Encryption;product1_SipZrtpAttribute;product1_AudioCodec;product1_VideoCodec;product1_Resolution;product1_SipMode;product1_H323Mode;product1_MTU;product1_DefaultCallRate;product1_MaxReceivedCallRate;product1_MaxTransmitedCallRate;product2_DefaultCallProtocol;product2_ListenPort;product2_DefaultTransportProtocol;product2_Encryption;product2_SipZrtpAttribute;product2_AudioCodec;product2_VideoCodec;product2_Resolution;product2_SipMode;product2_H323Mode;product2_MTU;product2_DefaultCallRate;product2_MaxReceivedCallRate;product2_MaxTransmitedCallRate
googletalk;on;auto;besteffort;true;ilbc-8000;h264;480;off;off;1497;4420;2325;612;icq;on;udp;off;false;speex-8000;ulpfec;1080;on;on;515;3576;1947;209
sip;on;tls;off;auto;speex-8000;ulpfec;1080;off;on;970;3391;577;1897;h323;off;auto;besteffort;auto;auto;vp8;240;on;on;515;4843;598;4488
h323;on;auto;besteffort;auto;pcmu-8000;h264;480;on;off;1444;925;3639;3344;googletalk;on;tls;off;false;speex-8000;rtx;1080;on;on;541;2714;4382;209
sip;off;tcp;off;auto;silk-12000;auto;1080;off;off;870;4113;4232;1148;h323;off;auto;besteffort;auto;auto;auto;360;on;off;666;4843;598;4488
h323;on;auto;besteffort;true;pcmu-8000;h264;480;on;off;1444;925;3639;3344;googletalk;on;tls;off;false;speex-8000;rtx;1080;on;on;541;2714;4382;209
googletalk;on;tls;off;true;speex-8000;vp8;1080;off;on;751;4485;577;405;h323;off;auto;besteffort;auto;auto;vp8;240;on;on;697;4946;389;4922
aim;off;tls;off;auto;silk-24000;auto;1080;off;off;568;1793;4500;3201;ippi;off;auto;off;true;pcma-8000;auto;360;on;off;697;4946;598;4488
sip;off;tcp;off;auto;amr-wb-16000;auto;1080;off;off;870;4113;4232;1148;h323;off;auto;besteffort;auto;auto;auto;360;on;off;666;4843;598;4488
h323;on;auto;besteffort;auto;pcmu-8000;h264;480;on;off;1444;925;3639;3344;googletalk;on;tls;off;false;speex-8000;rtx;1080;on;off;515;3437;2564;275
aim;on;auto;besteffort;auto;pcmu-8000;h264;480;on;off;1444;925;2874;3344;googletalk;on;tls;off;false;speex-8000;rtx;1080;on;on;541;2714;1106;209
h323;on;auto;besteffort;auto;pcmu-8000;h264;480;on;off;1444;925;3639;3344;googletalk;on;tls;off;false;speex-8000;rtx;1080;on;on;541;3933;3187;209
googletalk;off;tcp;off;auto;silk-12000;auto;1080;off;off;870;3391;4832;2626;h323;off;auto;besteffort;auto;auto;auto;240;on;off;697;4843;598;4488
googletalk;off;tcp;off;auto;silk-12000;auto;1080;off;off;857;1373;4695;3201;ippi;off;auto;off;true;pcma-8000;auto;360;on;off;697;4946;598;4488
aim;on;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1497;925;238;3344;icq;off;tls;off;false;speex-8000;ulpfec;1080;on;off;541;4946;4430;4515
googletalk;off;tcp;off;auto;silk-12000;auto;1080;off;off;870;3391;4832;1809;h323;off;auto;besteffort;auto;telephone-event-80000;auto;360;on;off;697;4946;294;4922
aim;on;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1497;1391;1723;3344;ippi;off;tls;off;false;ilbc-8000;ulpfec;1080;on;off;644;71;1390;209
googletalk;on;auto;besteffort;auto;speex-8000;vp8;1080;off;off;1487;4564;1602;612;iptel.org;off;auto;off;true;speex-8000;ulpfec;1080;on;on;515;3576;1947;4109
aim;on;auto;besteffort;auto;pcmu-8000;h264;480;off;off;1487;925;2204;3344;iptel.org;on;tls;off;false;speex-8000;rtx;1080;on;on;541;2714;4382;209
h323;on;auto;besteffort;auto;pcmu-8000;h264;480;on;off;1444;925;3639;3344;googletalk;on;tls;off;false;speex-8000;rtx;1080;on;on;541;2714;4382;209
aim;on;auto;off;auto;speex-8000;h264;1080;off;off;1497;4663;591;612;iptel.org;off;auto;off;true;speex-16000;auto;360;on;on;515;2547;2572;4488
googletalk;on;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1338;1487;1993;3344;googletalk;on;tls;off;false;speex-8000;rtx;1080;on;on;541;2714;2652;209
aim;on;auto;besteffort;true;ilbc-8000;h264;480;off;off;1497;4420;2325;612;icq;on;udp;off;false;silk-12000;ulpfec;1080;on;on;515;2524;598;4488
googletalk;off;auto;off;auto;silk-24000;auto;1080;on;off;664;1793;4500;3201;iptel.org;off;tls;off;true;pcma-8000;auto;360;on;off;515;396;294;4375
aim;on;auto;besteffort;auto;pcmu-8000;h264;720;on;off;1497;925;2940;3344;googletalk;on;tls;off;false;speex-8000;rtx;1080;on;on;541;2714;4382;180
googletalk;off;auto;off;auto;speex-8000;h264;1080;off;off;1487;4663;4695;3201;ippi;off;tls;off;true;pcma-8000;auto;360;on;on;515;4946;294;4922
googletalk;off;auto;off;auto;silk-24000;vp8;1080;off;off;829;4485;577;405;h323;off;auto;besteffort;auto;auto;auto;240;on;off;515;4946;598;4663
googletalk;off;auto;off;auto;silk-12000;auto;720;on;off;627;1381;4695;3201;ippi;off;auto;off;true;pcma-8000;auto;360;on;off;666;4843;598;4488
googletalk;on;auto;besteffort;auto;pcmu-8000;h264;720;on;off;1338;1487;1993;3344;googletalk;on;tls;off;false;speex-8000;rtx;1080;on;on;541;2714;2652;209
aim;on;auto;besteffort;true;ilbc-8000;h264;480;off;off;1497;4420;2325;612;icq;on;auto;off;auto;speex-8000;ulpfec;1080;on;on;515;4946;2230;4938
googletalk;on;auto;besteffort;true;pcmu-8000;h264;1080;off;off;1497;4420;2325;612;icq;off;auto;off;false;speex-8000;ulpfec;1080;on;on;515;3576;1947;3738
googletalk;on;auto;besteffort;auto;speex-8000;vp8;1080;off;off;1487;4564;1602;612;iptel.org;off;auto;off;false;speex-8000;ulpfec;1080;on;on;515;3576;4974;4375
googletalk;off;udp;off;auto;silk-24000;auto;1080;on;off;857;3280;4695;3201;iptel.org;off;auto;off;true;pcma-8000;auto;360;on;off;666;157;598;4488
googletalk;on;auto;off;auto;pcmu-8000;h264;720;off;off;1497;925;2204;3344;ippi;off;tls;off;false;speex-8000;ulpfec;1080;on;on;541;2765;4382;209
aim;off;auto;besteffort;auto;pcmu-8000;h264;1080;on;off;1497;925;238;3344;ippi;off;auto;off;true;pcma-8000;auto;360;on;off;666;2714;4382;209
aim;on;auto;besteffort;auto;pcmu-8000;h264;720;on;off;1497;925;2940;3344;ippi;off;tcp;off;false;speex-8000;ulpfec;1080;on;on;541;2714;1106;209
googletalk;off;tcp;off;auto;silk-8000;vp8;1080;off;off;829;4485;638;405;h323;off;auto;besteffort;auto;auto;auto;360;on;off;515;4946;598;4488
googletalk;off;tcp;off;auto;speex-8000;ulpfec;1080;off;on;970;3391;577;1897;h323;off;auto;besteffort;auto;auto;auto;360;on;off;666;4843;598;4845
aim;on;auto;off;auto;speex-8000;h264;1080;off;off;1497;4420;2325;612;icq;off;auto;off;false;speex-8000;ulpfec;1080;on;on;515;3576;1947;4488
